Set,Model,Accuracy,Faithfulness Correlation,Complexity,Max Sensitivity,Avg Sensitivity,sMPRT,eMPRT,MoRF Zero AoC,MoRF Mean AoC,ROAR AoC
5,convnext,18.9,-0.016778025064365,0.9933701105942654,0.0080410782247781,0.0061431531794369,0.0761396884918212,0.0,9.45,8.4,9.583333333333334
5,convnext,28.2,-0.0199778325669708,0.9945489909169712,0.0160421393811702,0.0120309302583336,0.0640659928321838,0.0,16.9,16.1,22.08333333333333
5,convnext,40.8,0.035297540248301,0.9931434109457716,0.0294922310858964,0.0230444725602865,0.0799761414527893,0.0,24.2,22.7,32.5
5,convnext,49.7,-0.0102218658410312,0.9923284302757456,0.0340717658400535,0.0263206679373979,0.088914930820465,0.0,28.2,26.55,40.41666666666666
5,convnext,57.2,-0.0146081499357419,0.9908388302302982,0.0342224687337875,0.0266655460000038,0.1041783094406127,0.0,33.95,32.5,53.75
5,convnext,61.0,-0.0031635371219637,0.9908927829201164,0.0336775183677673,0.0267542153596878,0.1028083562850952,0.0,38.3,36.4,60.41666666666666
5,convnext,65.0,-0.0009043917074343,0.9887457749693068,0.0398894771933555,0.0314078219234943,0.1262071132659912,0.0,38.2,36.2,67.91666666666667
5,convnext,69.9,-0.0015325600703172,0.985472855873035,0.0438350811600685,0.0343339294195175,0.1584747433662414,0.0,41.6,38.55,67.91666666666667
5,convnext,76.3,-0.0068648330022232,0.9777506663901206,0.0524924546480178,0.0422488413751125,0.2319726347923278,0.0,44.3,41.7,77.5
5,convnext,80.2,0.0082974993867929,0.9845662680317552,0.0653960034251213,0.055344458669424,0.1648857593536377,0.0,52.95,50.45,74.58333333333333
5,resnet,27.7,0.0148275844768238,0.9754606978614728,0.0762326642870903,0.0687727406620979,0.2204123735427856,0.0,16.05,14.0,32.083333333333336
5,resnet,44.1,0.002729986555063,0.9795675653702852,0.034428060054779,0.0277450270950794,0.2045400738716125,0.0,29.6,29.05,41.66666666666666
5,resnet,53.1,0.0187034900618149,0.9725716999238676,0.065368928015232,0.0512861534953117,0.249642789363861,0.0,38.0,37.05,55.0
5,resnet,58.48,0.0012829648497201,0.973256505679528,0.0452935397624969,0.0321814902126789,0.2484757304191589,0.0,42.55,41.65,59.16666666666666
5,resnet,63.9,0.0031778514554888,0.9763630003979624,0.0458767376840114,0.0356038957834243,0.2286103963851928,0.0,48.2,47.7,69.16666666666667
5,resnet,66.0,-0.0175472531542038,0.9734315709178442,0.0492635816335678,0.0364447385072708,0.2456480264663696,0.0,50.25,49.3,73.33333333333333
5,resnet,69.0,0.0261543211864554,0.9759476068369016,0.0373964197933673,0.0278979651629924,0.2311198711395263,0.0,49.85,48.6,73.75
5,resnet,73.2,0.0111286166009631,0.971930168721499,0.0463218204677104,0.0349267907440662,0.2620899081230163,0.0,52.8,52.0,72.08333333333333
5,resnet,77.1,-0.0008323786751336,0.9747305100255748,0.0468499809503555,0.0358322113752365,0.2440078854560852,0.0,58.85,56.3,73.33333333333333
5,resnet,80.7,-0.0285213305433505,0.97334467055677,0.0419599451124668,0.0325772985816001,0.2527732849121094,0.0,64.2,62.75,85.0
5,vgg,12.47,0.0090515384939459,0.9751060010764576,0.0245872382074594,0.0201286599040031,0.2766077518463135,0.1660814457444775,0.05,0.1,1.25
5,vgg,23.6,-0.0017638602846048,0.974151572373503,0.0258146841078996,0.0208328384906053,0.2482516765594482,0.1923077727270813,0.15,0.15,0.0
5,vgg,34.8,-0.0072616845733899,0.9743812928106192,0.0251598544418811,0.0202882830053567,0.2718850970268249,0.1846816541009134,0.2,0.15,2.5
5,vgg,42.7,-0.0030688984184158,0.975234981725554,0.0243130400776863,0.0197552386671304,0.2537590265274048,0.1911656312204986,0.3,0.25,1.25
5,vgg,48.5,0.0215069456256462,0.9753136627315389,0.0241957325488328,0.0198548045009374,0.2754371762275696,0.1850073149824316,0.2,0.3,0.0
5,vgg,57.45,0.0124455473863365,0.9760299408895928,0.0248991753906011,0.0203015320003032,0.2637140154838562,0.1804481294241011,0.25,0.3,0.0
5,vgg,62.0,0.003984438297862,0.9755082577195546,0.0244313552975654,0.020074812695384,0.2504642009735107,0.173194190810752,0.1,0.25,0.0
5,vgg,68.0,-0.0089959309845773,0.9765895595446596,0.0243334341794252,0.019927741959691,0.2383280992507934,0.1806932662585083,0.2,0.2,1.25
5,vgg,72.2,-0.0199231616656571,0.9739567666327924,0.0252683162689209,0.0205287411808967,0.2588981389999389,0.2010504136581717,0.15,0.3,0.0
5,vgg,80.3,-0.0009736747755028,0.975251069181242,0.0254256390035152,0.0206633228808641,0.228655993938446,0.1935250025637849,0.05,0.15,1.25
6,convnext,17.9,0.0035505989797944,0.992135310556592,0.0382244288921356,0.0296399611979722,0.0894929766654968,0.0,9.05,8.25,4.166666666666667
6,convnext,29.1,-0.002805453321229,0.994122216710402,0.0621927604079246,0.0484121143817901,0.0699002146720886,0.0,16.3,14.25,29.58333333333333
6,convnext,41.1,-0.0030293311290089,0.9932893220613346,0.0564763993024826,0.0448433682322502,0.0769009590148925,0.0,25.1,24.25,31.666666666666668
6,convnext,49.7,-0.0060580112498459,0.99162430552308,0.0395862609148025,0.0310688763856887,0.0989633202552795,0.0,8.35,7.9,10.0
6,convnext,57.2,-0.0269930696149597,0.9918800890434288,0.0671380162239074,0.0534067042171955,0.0928033590316772,0.0,38.65,37.55,52.91666666666666
6,convnext,65.9,0.0014924223529485,0.9895880129878348,0.0925903692841529,0.0722395777702331,0.1165989637374877,0.0,42.8,42.6,56.66666666666666
6,convnext,68.5,0.0146862633011142,0.9895148115519098,0.1228090301156044,0.0936148762702941,0.116478681564331,0.0,44.0,42.5,68.33333333333333
6,convnext,71.6,-0.0113820512161781,0.9893920832327532,0.0984750017523765,0.0772846192121505,0.1177632212638855,0.0,47.95,48.5,58.333333333333336
6,convnext,74.9,-0.0313304211829148,0.9884774165381802,0.0656874775886535,0.0539612993597984,0.1294735074043274,0.0,49.5,49.0,82.08333333333333
6,convnext,80.7,-0.0265037734992744,0.9847132329107908,0.080400750041008,0.0683036968111991,0.1616909503936767,0.0,55.0,53.3,73.75
6,resnet,28.2,0.0007942372598415,0.982099407741438,0.0494024753570556,0.0441311821341514,0.1798539757728576,0.0,21.0,20.45,30.83333333333333
6,resnet,44.8,0.0142405326700013,0.976911378909317,0.0342737808823585,0.0280496478080749,0.2241532802581787,0.0,31.3,31.8,39.16666666666666
6,resnet,54.0,-0.0031256799526551,0.975383070618961,0.037992238998413,0.0312963090837001,0.2334039211273193,0.0,38.45,37.55,48.75
6,resnet,60.9,0.0094528926915535,0.9742120583968538,0.0331339798867702,0.0267592594027519,0.2388362884521484,0.0,44.55,44.9,57.5
6,resnet,66.3,0.0301756988177723,0.9751333286758576,0.0397646650671958,0.0302651952952146,0.2382174730300903,0.0,50.9,49.95,66.25
6,resnet,70.8,0.00925060726617,0.9743069673603229,0.057878591120243,0.0417524054646492,0.2423738837242126,0.0,56.05,55.95,73.33333333333333
6,resnet,74.3,-0.0188544806216029,0.9738303852669294,0.0455690398812294,0.0351503938436508,0.247272789478302,0.0,55.5,55.45,75.0
6,resnet,75.8,-0.015493790160809,0.9749848182770612,0.0410454832017421,0.0320971645414829,0.2384106516838073,0.0,61.7,61.75,82.5
6,resnet,77.6,0.0153602591423233,0.9759358749369024,0.0734091624617576,0.0531820952892303,0.2321826815605163,0.0,60.55,60.55,80.41666666666667
6,resnet,80.4,0.0059436587137349,0.975374640511177,0.0642969831824302,0.0471269339323043,0.2401367425918579,0.0,63.95,63.0,85.41666666666667
6,vgg,13.3,0.0252601489828805,0.979822365378059,0.0231783017516136,0.0188881047070026,0.2175091505050659,0.1077128360612991,0.4,0.5,1.25
6,vgg,26.8,0.0112519110883608,0.9788826893637266,0.023070516064763,0.0189875327050685,0.2480008006095886,0.1254286004972953,0.4,0.55,1.25
6,vgg,42.1,0.0037224878807157,0.9793324356140074,0.0237552616745233,0.0197422634810209,0.2383701801300048,0.1339152645385713,0.5,0.45,0.0
6,vgg,48.7,0.0419723268594926,0.9770315781961384,0.0236319359391927,0.0195133537054061,0.2290241718292236,0.1320027238939241,0.5,0.45,2.5
6,vgg,57.1,0.0272204167253615,0.9787229388212182,0.0236412268131971,0.0191421285271644,0.2190810441970825,0.1416642467387003,0.45,0.5,1.25
6,vgg,61.7,0.0165736311231501,0.9787406420475648,0.0253298394381999,0.0207156036049127,0.2429703474044799,0.1571627316219613,0.4,0.5,1.25
6,vgg,68.1,0.0176954102715809,0.9782932140769246,0.0247531943023204,0.0203508082777261,0.2465816736221313,0.1402474205165056,0.35,0.45,1.25
6,vgg,71.9,0.0235456527931443,0.9774999409344424,0.0262648817151784,0.0213654525578022,0.2412469387054443,0.1805124428101332,0.35,0.55,0.0
6,vgg,77.9,-0.0033668437920486,0.976111150927913,0.0255422741174697,0.0209987610578537,0.2433249950408935,0.1702126074829464,0.45,0.55,2.5
6,vgg,79.9,0.0244643715444256,0.9761880756614428,0.0248467233031988,0.0204719137400388,0.2573233842849731,0.1579692500013053,0.35,0.5,1.25
7,convnext,19.8,-0.0175502467846724,0.9945218038193676,0.0142083493992686,0.0105625269934535,0.06387460231781,0.0,6.0,5.0,23.33333333333333
7,convnext,34.1,-0.0113849742574262,0.9934938224259968,0.0344946235418319,0.0263459831476211,0.0760886669158935,0.0,16.2,12.7,25.0
7,convnext,46.3,-0.0426804185440907,0.9918262066045088,0.0533809140324592,0.041538581252098,0.0952761769294738,0.0,22.65,19.95,26.666666666666668
7,convnext,52.1,-0.010779295185286,0.9895297047423284,0.0493159592151641,0.0387482158839702,0.115996241569519,0.0,36.9,33.65,47.5
7,convnext,57.4,0.0130972245581547,0.9882493821226208,0.0510988272726535,0.0400698333978652,0.1282951235771179,0.0,37.2,35.1,47.91666666666666
7,convnext,61.9,-0.0048766223637514,0.987117710403506,0.0528000593185424,0.0421954207122325,0.1396272182464599,0.0,37.0,33.65,50.41666666666666
7,convnext,66.3,-0.019980225350472,0.9887897520315804,0.0576620250940322,0.0463975481688976,0.1252673864364624,0.0,42.95,39.8,63.333333333333336
7,convnext,72.1,0.0066284520608733,0.9848785332742572,0.0570082329213619,0.0464976653456687,0.1582137942314148,0.0,50.1,47.65,64.58333333333333
7,convnext,75.9,0.0152595137854154,0.9815220858600248,0.0571263134479522,0.0467638634145259,0.1868945360183715,0.0,54.15,51.3,65.41666666666667
7,convnext,80.1,-0.0113588408119721,0.969103553581496,0.1091900542378425,0.0917249396443367,0.2715852260589599,0.0,56.45,54.3,82.91666666666667
7,resnet,25.6,-0.0133831619996643,0.9811621905085424,0.0471258163452148,0.0419385731220245,0.185443103313446,0.0,16.35,15.8,27.08333333333333
7,resnet,42.6,-0.0206745586318914,0.9777887423769456,0.0472478196024894,0.0402391068637371,0.2212904095649719,0.0,28.7,28.05,30.416666666666668
7,resnet,49.4,-0.002781386091018,0.974048303553148,0.0584606416523456,0.0499123185873031,0.2403619289398193,0.0,32.05,31.9,47.91666666666666
7,resnet,55.7,-0.0017140837193182,0.9690709571647308,0.0387223400175571,0.0304846111685037,0.2759149074554443,0.0,40.95,40.85,63.333333333333336
7,resnet,60.1,-0.0396035271019065,0.969545993738364,0.0407811850309371,0.031546201556921,0.2792783975601196,0.0,44.5,43.05,53.333333333333336
7,resnet,65.4,-0.0425964153610081,0.9723327063681888,0.0402126684784889,0.0321016609668731,0.2596367597579956,0.0,50.25,48.9,71.25
7,resnet,68.1,-0.0245860710660527,0.9716821830508504,0.0513340532779693,0.0397500284016132,0.2677645683288574,0.0,53.25,51.95,64.58333333333333
7,resnet,72.6,-0.0204961585680657,0.9706204812263436,0.0628478825092315,0.0460704788565635,0.2735240459442138,0.0,57.25,55.95,70.83333333333333
7,resnet,76.7,-0.0246780886402751,0.9723830060113008,0.0483390614390373,0.0378962643444538,0.2589424252510071,0.0,61.65,60.85,83.75
7,resnet,80.3,-0.0238562816717248,0.9704605199311406,0.0525659844279289,0.0416137501597404,0.2727282047271728,0.0,64.95,64.75,80.41666666666667
7,vgg,8.9,-0.0188140787255714,0.983706116034186,0.0236658100038766,0.0192199200391769,0.2186009883880615,0.1824716084178629,4.9,2.65,8.75
7,vgg,20.0,0.0059339596992307,0.9905626036985732,0.0242979153990745,0.0195135939866304,0.1726396083831787,0.1580923040798149,5.3,2.85,11.25
7,vgg,31.9,0.0071520931486742,0.99070718004707,0.0236426163464784,0.0188366267830133,0.1499252319335937,0.1784743315883173,4.6,2.7,5.0
7,vgg,44.3,-0.0163239072513837,0.9874238638178644,0.0243523605167865,0.0196804609149694,0.1843411326408386,0.1713602239194023,5.15,3.15,7.5
7,vgg,51.1,-0.0115900468650272,0.9846118608646872,0.0242598485201597,0.0197334885597229,0.181498646736145,0.1789964155136808,5.2,3.05,7.5
7,vgg,58.9,-0.0003700857708745,0.987334012919066,0.0219057034701108,0.0176913980394601,0.1744659543037414,0.175659677373656,4.7,2.85,13.75
7,vgg,65.9,-0.006403734013213,0.978079510844598,0.0241294410079717,0.019929751753807,0.2454180717468261,0.2044018862769639,5.05,3.15,6.25
7,vgg,70.6,0.0062441358638687,0.9810624342330976,0.02379160374403,0.0196156520396471,0.219465970993042,0.1654765762210556,5.35,3.1,16.25
7,vgg,76.4,-0.0036958030833403,0.9818798034336624,0.0232995469123125,0.0191506166011095,0.2287893891334533,0.1776659378228175,5.45,3.45,10.0
7,vgg,79.2,0.0073932430493602,0.9831188887761264,0.0216529052704572,0.0179098416119813,0.2115337252616882,0.1378800431250464,5.5,3.4,5.0
